Name;File Extension;Título;Artistas participantes;Álbum;Tamanho;Artista do Álbum
DRAGON QUEST CABOCLO.mp3;.mp3;DRAGON QUEST CABOCLO;;;13.794 KB;
Drinking From the Bottle (Lyric Video).mp3;.mp3;Drinking From the Bottle (Lyric Video);;;3.766 KB;
Elements- Dubstep Violin- Lindsey Stirling.mp3;.mp3;Elements- Dubstep Violin- Lindsey Stirling;;;3.856 KB;
Elis Regina & Adoniran Barbosa - Tiro ao Alvaro.avi.m4a;.m4a;Elis Regina & Adoniran Barbosa - Tiro ao Alvaro;;;2.535 KB;
Empyre One - Mirrors (Radio Edit).m4a;.m4a;Empyre One - Mirrors (Radio Edit);;;3.356 KB;
eric saade feat dev - hotter than fire (full).mp3;.mp3;Hotter Than Fire;Eric Saade feat. Dev;www.RnBXclusive.com;6.354 KB;www.RnBXclusive.com
Eu gosto de mulher.mp3;.mp3;Eu gosto de mulher;Ultraje a Rigor;Acústico MTV;6.537 KB;Ultraje a Rigor
Eu Me Remexo Muito.mp3;.mp3;Eu Me Remexo Muito;;;2.929 KB;
Eu não sei.mp3;.mp3;Eu não sei;Ultraje a Rigor;Acústico MTV;3.202 KB;Ultraje a Rigor
Europe - The Final Countdown.mp3;.mp3;Europe - The Final Countdown;Europe;The Final Countdown;4.625 KB;Europe
Evanescence - Bring Me To Life.mp3;.mp3;Evanescence - Bring Me To Life;;;7.903 KB;
Evanescence - Lithium (Dj T.c. Hardstyle Edit).mp3;.mp3;;;;9.181 KB;
Evanescence - What You Want.mp3;.mp3;Evanescence - What You Want;;;6.899 KB;
Falamansa - Xote da Alegria.m4a;.m4a;Falamansa - Xote da Alegria;;;3.978 KB;
Fallen Kingdom  - A Minecraft Parody of Coldpl.mp3;.mp3;Fallen Kingdom  - A Minecraft Parody of Coldplay s Viva la Vida (Music Video);;;4.495 KB;
Faroeste Caboclo - Legião Urbana (VERSÃO MEME).mp3;.mp3;Faroeste Caboclo - Legião Urbana (VERSÃO MEME);;;12.672 KB;
Fedde Le Grand & Nicky Romero - Sparks (Vicetone Remix).mp3;.mp3;Fedde Le Grand & Nicky Romero - Sparks (Vicetone Remix);;;3.991 KB;
Flo Rida - Whistle (Vicetone Remix).mp3;.mp3;Flo Rida - Whistle (Vicetone Remix);;;3.722 KB;
FloRida Bach Black-Eyed Peas - Good Feeling - Seth G. Violin Cover.mp3;.mp3;FloRida Bach Black-Eyed Peas - Good Feeling - Seth G. Violin Cover;;;3.593 KB;
Foggy - Come into my Dream [HD].m4a;.m4a;Foggy - Come into my Dream;;;3.088 KB;
Free The Madness (Official Audio) - Steve Aoki ft. Machine Gun Kelly.mp3;.mp3;Free The Madness (Official Audio) - Steve Aoki ft. Machine Gun Kelly;;;8.592 KB;
Fresh Prince of Bel Air - FULL THEME SONG.mp3;.mp3;Fresh Prince of Bel Air - FULL THEME SONG;;;2.782 KB;
Frontliner ft. Ellie - Lose The Style (HQ Preview).mp3;.mp3;Frontliner ft. Ellie - Lose The Style (HQ Preview);;;7.141 KB;
Galantis - Runaway (U & I Frontliner Remix) [Bass Boosted].m4a;.m4a;Galantis - Runaway (U & I Frontliner Remix) [Bass Boosted];;;3.727 KB;
GERAÇÃO DE PENSADORES - Fabio Brazza e Mc Garden.mp3;.mp3;GERAÇÃO DE PENSADORES - Fabio Brazza e Mc Garden;;;6.841 KB;
GiGi D'Agostino - L'Amour Toujours (Dekagram Remix).m4a;.m4a;GiGi D'Agostino - L'Amour Toujours (Dekagram Remix);;;3.995 KB;
Giselda.mp3;.mp3;Giselda;Ultraje a Rigor;Acústico MTV;4.700 KB;Ultraje a Rigor
GTA - Red Lips (Aero Chord Remix).m4a;.m4a;GTA - Red Lips (Aero Chord Remix);;;3.441 KB;
Gun s N  Roses - Knockin On Heavens Door.mp3;.mp3;Gun s N  Roses - Knockin On Heavens Door;;;5.339 KB;
Guns N  Roses - November Rain.mp3;.mp3;Guns N  Roses - November Rain;;;8.570 KB;
Guns N  Roses - Paradise City.mp3;.mp3;Guns N  Roses - Paradise City;;;6.405 KB;
Guns N  Roses - Sweet Child O  Mine.mp3;.mp3;Guns N  Roses - Sweet Child O  Mine;;;4.682 KB;
Guns N  Roses - Welcome To The Jungle.mp3;.mp3;Guns N  Roses - Welcome To The Jungle;;;4.302 KB;
Gunz For Hire - No Mercy [official videoclip].mp3;.mp3;No Mercy;Gunz for Hire;;5.415 KB;
Hard Rock Sofa vs Swanky Tunes & Eric Prydz - Here we push the pjanoo (JohanNordh & Lilleman Mashup).mp3;.mp3;Hard Rock Sofa vs Swanky Tunes & Eric Prydz - Here we push the pjanoo (JohanNordh & Lilleman Mashup);;;4.688 KB;
Hardwell & Headhunterz - Nothing Can't Hold Us Down feat. Haris (Fixwave Edit).m4a;.m4a;Hardwell & Headhunterz - Nothing Can't Hold Us Down feat. Haris (Fixwave Edit);;;2.350 KB;
Hardwell & Showtek - How We Do (Official Video HD).mp3;.mp3;Hardwell & Showtek - How We Do (Official Video HD);;;2.571 KB;
Headhunterz - Dragonborn (Official Videoclip).mp3;.mp3;;;;8.841 KB;
Headhunterz End of My Existence.mp3;.mp3;End Of My Existence;Headhunterz;;10.326 KB;
Headhunterz feat. Krewella - United Kids of the World (Official Video).mp3;.mp3;;;;5.374 KB;
Hino da Independência do Brasil.mp3;.mp3;Hino da Independência do Brasil;;;8.876 KB;
Hino da Itália - Traduzido e legendado PT - BR.mp3;.mp3;Hino da Itália - Traduzido e legendado PT - BR;;;6.134 KB;
HINO DO NOROESTE DE BAURU.mp3;.mp3;HINO DO NOROESTE DE BAURU;;;2.419 KB;
Hino do Palmeiras na Guitarra.mp3;.mp3;hino do palmeiras na guitarra;;;3.197 KB;
Hino Nacional da França (Fr-Pt br).mp3;.mp3;Hino Nacional da França (Fr-Pt br);;;9.632 KB;
Hino Nacional da Rússia (Legendado em Português) (ru pt).mp3;.mp3;Hino Nacional da Rússia;Hino da Russia;Hino da Russia;7.233 KB;
Hook N Sling vs Nervo - Reason (Vicetone Remix).mp3;.mp3;Hook N Sling vs Nervo - Reason (Vicetone Remix);;;6.801 KB;
Hymne Borussia VFL 1900 (Lyrics) - Hino do Borussia Mönchengladbach (letra).mp3;.mp3;B.O - Die elf vom Niederrein;;;7.543 KB;
Hymne Fußball-Club Bayern München (Lyrics) - Hino do Bayern de Munique (letra).mp3;.mp3;Hymne Fußball-Club Bayern München (Lyrics) - Hino do Bayern de Munique (letra);;;6.833 KB;
I Need Your Love (Feat. Ellie Goulding) - Calvin Harris.mp3;.mp3;I Need Your Love (Feat. Ellie Goulding) - Calvin Harris;;;3.688 KB;
I yaz Ft. Charice. Pyramid Lyrics..mp3;.mp3;I yaz Ft. Charice. Pyramid Lyrics.;;;9.290 KB;
Ignazio Boschetto - Il Volo __ Ti voglio tanto bene PBS.m4a;.m4a;Il Volo - Ti voglio tanto bene;;;2.808 KB;
Il Mondo (From PBS Performance  Il Volo...Takes Flight ).mp3;.mp3;Il Mondo (From PBS Performance  Il Volo...Takes Flight );;;7.841 KB;
Il Volo - Aspettero' (Cover Audio).m4a;.m4a;Il Volo - Aspettero' (Cover Audio);;;3.532 KB;
Il Volo - Canzone per te.mp3;.mp3;Il Volo - Canzone per te;;;7.364 KB;
Il Volo - Grande amore.mp3;.mp3;Grande Amore;Il Volo;;7.011 KB;
Il Volo - Il tuo sguardo manca (Cover Audio).m4a;.m4a;Il Volo - Il tuo sguardo manca (Cover Audio);;;3.446 KB;
Il Volo - Io che non vivo (Senza te) (Cover Audio).mp3;.mp3;Il Volo - Io che non vivo (Senza te) (Cover Audio);;;5.283 KB;
Il Volo - Màs Que Amor.mp3;.mp3;Más que amor;Il Volo;;8.726 KB;
Il Volo - Questo Amore (I Don't Want To Miss A Thing) w- Lyrics.m4a;.m4a;Il Volo - Questo Amore (I Don't Want To Miss A Thing) w- Lyrics;;;4.328 KB;
Il Volo - Tornera l'amore (Cover Audio).m4a;.m4a;Il Volo - Tornera l'amore (Cover Audio);;;4.063 KB;
Il Volo - Un amore cosi grande.mp3;.mp3;Un amore così grande;Il Volo;;8.244 KB;
Império Serrano 1964 4 10 - Aquarela Brasileira.mp3;.mp3;Aquarela Brasileira;G.R.E.S. Império Serrano;;5.580 KB;
In My Mind (Axwell Radio Edit) - Feenixpawl, Georgi Kay, Ivan Gough -.mp3;.mp3;In My Mind (Axwell Radio Edit);Va - www.musicasparabaixar.org;Clubland Vol. 02 - www.musicasparabaixar.org;7.347 KB;www.musicasparabaixar.org
In the End - Linkin Park (Samba) [KONVERSÃO].mp3;.mp3;In the End - Linkin Park (Samba) [KONVERSÃO];;;7.467 KB;
Independente futebol Clube.mp3;.mp3;Independente futebol Clube;Ultraje a Rigor;Acústico MTV;3.750 KB;Ultraje a Rigor
Inno A.S Roma (Testo) - Himno de A.S Roma (Letra).mp3;.mp3;Inno A.S Roma (Testo) - Himno de A.S Roma (Letra);;;7.627 KB;
Inno Associazione Calcio Milan (Testo) - Hino do A.C. Milan (letra).mp3;.mp3;Inno Associazione Calcio Milan (Testo) - Hino do A.C. Milan (letra);;;7.996 KB;
Inno Ufficiale della Juventus (Testo) - Himno Oficial de la Juventus de Turín (Letra).mp3;.mp3;Inno Ufficiale della Juventus (Testo) - Himno Oficial de la Juventus de Turín (Letra);;;7.030 KB;
Inútil.mp3;.mp3;Inútil;Ultraje a Rigor;Acústico MTV;3.916 KB;Ultraje a Rigor
Iron Maiden - Wasting Love (Official Video).mp3;.mp3;Wasting Love;Iron Maiden;;10.850 KB;
ItaloBrothers - Cryin  In The Rain (Official HD Video).mp3;.mp3;Cryin' In The Rain - Video Edit;Italobrothers;;7.177 KB;
ItaloBrothers - Luminous Intensity 2013.mp3;.mp3;ItaloBrothers - Luminous Intensity 2013;;;7.557 KB;
ItaloBrothers - My Life Is A Party (R.I.O. Vide.mp3;.mp3;ItaloBrothers - My Life Is A Party (R.I.O. Video Edit) (Official Video HD);;;3.474 KB;
ItaloBrothers - P.O.D (People of DreamHack) [Original Hands Up Mix] HD.mp3;.mp3;ItaloBrothers - P.O.D (People of DreamHack) [Original Hands Up Mix] HD;;;5.477 KB;
ItaloBrothers - Pandora 2012.mp3;.mp3;Pandora 2012 - Edit;Italobrothers;;6.176 KB;
ItaloBrothers - Radio Hardcore (Official Video).mp3;.mp3;ItaloBrothers - Radio Hardcore (Official Video) - PUNCH 001;;;3.314 KB;
Italobrothers - Sleep when we re dead (Nezmo remix).mp3;.mp3;Italobrothers - Sleep when we re dead (Nezmo remix);;;5.930 KB;
Italobrothers - Stamp on the ground (Official HD Video).mp3;.mp3;Stamp On The Ground (Radio Edit);Italobrothers;;6.675 KB;
ItaloBrothers - Up  N Away (Re-Load Remix).mp3;.mp3;Up 'n Away - Video Edit;Italobrothers;;6.912 KB;
ItaloBrothers - Welcome To The Dancefloor (Official Video HD).mp3;.mp3;ItaloBrothers - Welcome To The Dancefloor (Official Video HD);;;5.407 KB;
I_m_on_you_-_Dj_antoine_Ara.mp3;.mp3;;;;5.582 KB;
Jackal - Shakedown.mp3;.mp3;Shakedown;Jackal;skykidz.ru;8.598 KB;
Jakob Liedholm - Endless vs. Close Your Eyes [Free].mp3;.mp3;Jakob Liedholm - Endless vs. Close Your Eyes [Free];;;7.804 KB;
Je ne sais pas Joyce Jonathan- lyrics.mp3;.mp3;Je ne sais pas Joyce Jonathan- lyrics;;;8.340 KB;
Jesse & Joy - La de la Mala Suerte (feat. Pablo Alborán).m4a;.m4a;La de la Mala Suerte (feat. Pablo Alborán);Jesse & Joy;Jesse & Joy;4.020 KB;
Jesse Go.mp3;.mp3;Jesse Go;Ultraje a Rigor;Acústico MTV;5.826 KB;Ultraje a Rigor
"Kevin Drew &amp; Taryn Manning - Summer Ashes.mp3";.mp3;;;;4.279 KB;
Khaled - C Est La Vie.mp3;.mp3;C’est la vie;Khaled;;7.400 KB;
Krewella & Pegboard Nerds - This is Not the End   Lyrics  .mp3;.mp3;Krewella & Pegboard Nerds - This is Not the End   Lyrics;;;6.568 KB;
Krewella -  We Go Down .mp3;.mp3;;;;5.797 KB;
Krewella - Alive.mp3;.mp3;Krewella - Alive;;;3.230 KB;
krewella - come and get it (razihel remix)(1).mp3;.mp3;Come And Get It (Razihel Remix);Krewella;Come And Get It CDS;8.533 KB;
Krewella - Enjoy The Ride [Exclusive].mp3;.mp3;;;;8.299 KB;
Krewella - Feel Me [OFFICIAL VIDEO - HD].mp3;.mp3;Krewella - Feel Me [OFFICIAL VIDEO - HD];;;7.750 KB;
Krewella - Human.mp3;.mp3;;;;6.120 KB;
Krewella - Killin  It [OFFICIAL VIDEO - HD].mp3;.mp3;Krewella - Killin  It [OFFICIAL VIDEO - HD];;;3.358 KB;
Krewella - One Minute (Culture Code Remix) (2).mp3;.mp3;Krewella - One Minute (Culture Code Remix) (2);;;4.364 KB;
Krewella - We Are One.mp3;.mp3;Krewella - We Are One;;;8.662 KB;
Krewella- Live For The Night [OFFICIAL AUDIO HD].mp3;.mp3;Krewella- Live For The Night [OFFICIAL AUDIO HD];;;4.870 KB;
Lana Del Rey vs Cedric Gervais 'Summertime Sadness' Remix.mp3;.mp3;;;;3.528 KB;
Legião Urbana - Eduardo e Monica.mp3;.mp3;Legião Urbana - Eduardo e Monica;;;4.237 KB;
Legião Urbana - Será.mp3;.mp3;Legião Urbana - Será;;;2.345 KB;
Les Miserables - I Dreamed a Dream (Lyrics).wmv.mp3;.mp3;Les Miserables - I Dreamed a Dream (Lyrics).wmv;;;8.360 KB;
Les Misérables Medley - Lindsey Stirling.mp3;.mp3;Les Misérables Medley - Lindsey Stirling;;;8.747 KB;
Levels.mp3;.mp3;Levels;Avicii;avicci;7.916 KB;Avicii
Liberdade! Liberdade! Abra as Asas Sobre nós! Samba Enredo - Imperatriz.mp3;.mp3;Liberdade! Liberdade! Abra as Asas Sobre Nós;G.R.E.S. Imperatriz Leopoldinense;;7.774 KB;
Linkin Park - BURN IT DOWN (Official Music Video).mp3;.mp3;Linkin Park - BURN IT DOWN (Official Music Video);;;9.138 KB;
Liverpool Football Club Anthem (Lyrics) - Hino do Liverpool F.C. (letra).mp3;.mp3;Liverpool Football Club Anthem (Lyrics) - Hino do Liverpool F.C. (letra);;;5.044 KB;
Livvi Franc Feat. Pitbull - Now I m That Bitch (Mattioli Remix).mp3;.mp3;Livvi Franc Feat. Pitbull - Now I m That Bitch (Mattioli Remix);;;1.984 KB;
Lookas - Loko.m4a;.m4a;Lookas - Loko;<unknown>;mp3;3.608 KB;
MAGIC! - Rude.mp3;.mp3;MAGIC! - Rude;;;7.044 KB;
Mako - Beam Ft. Angel Taylor (2013 Original Mix).mp3;.mp3;;;;13.529 KB;
Mako - Our Story.mp3;.mp3;;;;12.940 KB;
Manchester United F.C. Anthem (Lyrics) - Hino do Manchester United (letra).mp3;.mp3;Manchester United F.C. Anthem (Lyrics) - Hino do Manchester United (letra);;;5.423 KB;
Manian & Floorfilla - Just Another Night (Anthem 4) [Official Video].mp3;.mp3;Just Another Night (Anthem 4) (Manian Mix);Manian & Floorfilla;;6.254 KB;
Manian & Lance - Cold As Ice (Empyre One Video Edit).mp3;.mp3;;;;11.854 KB;
Manian & Nicco - Tonight (Official Video).mp3;.mp3;Manian & Nicco - Tonight (Official Video);;;6.719 KB;
Manian - Hands Up Forever.mp3;.mp3;Hands Up Forever;Manian;;5.773 KB;
Manian - Hold me tonight (Bootleg Radio Mix).mp3;.mp3;Hold Me Tonight;Manian;;6.733 KB;
Manian - Loco.mp3;.mp3;Loco;Manian;;6.375 KB;
Manian - Ravers in the UK (Official Video HD Version).mp3;.mp3;Manian - Ravers in the UK (Official Video HD Version);;;6.605 KB;
Manian - Welcome to the Club.mp3;.mp3;Welcome To The Club;Manian;;6.158 KB;
Manian feat. Nicci - I m In Love With The DJ (Original).mp3;.mp3;Manian feat. Nicci - I m In Love With The DJ (Original);;;6.318 KB;
Mark With a K - Music Is My Alibi (Da Tweekaz Remix).mp3;.mp3;Music Is My Alibi;Mark With a K;;9.959 KB;
Max Elto - Shadow of the Sun (Mako Remix).mp3;.mp3;Shadow Of The Sun;Max Elto;;7.174 KB;
Maxence Cyrin - Where Is My Mind [Mr. Robot].m4a;.m4a;Where Is My Mind [Mr. Robot];Maxence Cyrin;Maxence Cyrin;2.679 KB;
Maximillian Sheldon.mp3;.mp3;Maximillian Sheldon;Ultraje a Rigor;Acústico MTV;6.313 KB;Ultraje a Rigor
MC Brinquedo - Roça Roça (Flying Buff Festival Trap Remix).mp3;.mp3;MC Brinquedo - Roça Roça (Flying Buff Festival Trap Remix);;;6.226 KB;
Me Dá Um Olá.mp3;.mp3;Me Dá Um Olá;Ultraje a Rigor;Acústico MTV;2.515 KB;Ultraje a Rigor
Meg & Dia -  Monster  Doghouse Records.mp3;.mp3;Meg & Dia -  Monster  Doghouse Records;;;2.517 KB;
Meg & Dia - Monster (DotEXE Dubstep Remix).mp3;.mp3;Meg & Dia - Monster (DotEXE Dubstep Remix);;;3.486 KB;
Mike Candys feat. Evelyn & Carlprit - Brand New Day (Official Video HD).mp3;.mp3;Brand New Day - Radio Mix;Mike Candys feat. Evelyn & Carlprit;;5.446 KB;
Mike Candys feat. Jenson Vaughan - Bring Back The Love (Official Video HD).mp3;.mp3;Bring Back the Love - Radio Mix;Mike Candys feat. Jenson Vaughan;;6.310 KB;
Miley Cyrus - When I Look At You.mp3;.mp3;When I Look at You;Miley Cyrus;;7.691 KB;
Mim quer tocar.mp3;.mp3;Mim quer tocar;Ultraje a Rigor;Acústico MTV;4.991 KB;Ultraje a Rigor
Musica Boa 1.mp3;.mp3;[Progressive] - Ryos ft. Allisa Rose - Eclipse (Reez Remix) [Premiere];Ryos ft. Allisa;Maxtor;9.751 KB;
My Name Is Skrillex (Skrillex Remix).mp3;.mp3;My Name Is Skrillex (Skrillex Remix);www.electrosfera.com;www.electrosfera.com;5.868 KB;
Måns Zelmerlöw - Hereos (Will-Em Remix).m4a;.m4a;Heroes (Will-Em Remix);Måns Zelmerlöw;;4.391 KB;
Nada a declarar.mp3;.mp3;Nada a declarar;Ultraje a Rigor;Acústico MTV;4.565 KB;Ultraje a Rigor
Neilio - Stories (Official HQ Preview).mp3;.mp3;Neilio - Stories (Official HQ Preview);;;6.661 KB;
Neilio ft. Miss Judged - Trapped (Official HQ Preview).mp3;.mp3;Neilio ft. Miss Judged - Trapped (Official HQ Preview);;;7.104 KB;
Neilio ft. Ohwin - Wish I Never Met You (The Vision Remix) (Official HQ Preview).m4a;.m4a;Neilio ft. Ohwin - Wish I Never Met You (The Vision Remix) (Official HQ Preview);;;3.297 KB;
Nek - Fatti Avanti Amore (Dario Trapani Remix).mp3;.mp3;Nek - Fatti Avanti Amore (Dario Trapani Remix);;;7.476 KB;
Nek - Fatti avanti amore (Official Video) [Sanremo 2015].mp3;.mp3;Nek - Fatti avanti amore (Official Video) [Sanremo 2015];;;7.209 KB;
nerdcast_314_dia_dos_namorados.mp3;.mp3;Nerdcast 314 – Especial Dia dos Namorados 2012;NC314 - Alottoni, Sra. Jovem Nerd, Guilherme Briggs, Portuguesa e Azaghal, o anão;Jovem Nerd;73.540 KB;
nerdcast_318_historias_de_trabalho_2.mp3;.mp3;Nerdcast 318 - Eu só trabalho aqui 2;NC318 - Alottoni, Diogo Braga, Beto Estrada, Affonso Solano e Azaghal;Jovem Nerd;51.401 KB;
nerdcast_332_profissao_professor 2.mp3;.mp3;Nerdcast 332 - Profissão: Professor;NC332 - Alottoni, Tucano, Gustavo Guanabara, Jonny Ken e Azaghal;Jovem Nerd;57.719 KB;
nerdcast_332_profissao_professor.mp3;.mp3;Nerdcast 332 - Profissão: Professor;NC332 - Alottoni, Tucano, Gustavo Guanabara, Jonny Ken e Azaghal;Jovem Nerd;57.719 KB;
nerdcast_337_protocolos_sociais.mp3;.mp3;Nerdcast 337 - Manual do protocolo social;NC337 - Alottoni, Affonso Solano, Diogo Braga, Beto Estrada e Azaghal;Jovem Nerd;59.694 KB;
nerdcast_359_tipos_de_pessoas.mp3;.mp3;Nerdcast 359 - Aquele tipinho de pessoa;NC359 - Alottoni, JP, Tucano, Sr. K e Azaghâl;Jovem Nerd;57.542 KB;
nerdcast_370_loteria.mp3;.mp3;Nerdcast 370 - E se... ganhássemos na loteria?;NC370 - Alottoni, Tucano, JP, Sr. K e Azaghal;Jovem Nerd;61.366 KB;
nerdcast_371_caneladas_da_historia.mp3;.mp3;Nerdcast 371 - Caneladas da História;NC371 - Alottoni, Bluehand, Tucano, Eduardo Spohr,JP e Azaghal;Jovem Nerd;51.806 KB;
nerdcast_373_regras_nao_escritas_da_vida.mp3;.mp3;Nerdcast 373 - Regras não escritas da vida;NC373 - Alottoni, Affonso Solano, Beto Estrada, Diogo Braga e Azaghâl;Jovem Nerd;67.715 KB;
nerdcast_378_pequenos_prazeres.mp3;.mp3;Nerdcast 378 - Pequenos Prazeres;NC378 - Alottoni, Sra. Jovem Nerd, Sr. K, Portuguesa e Azaghâl;Jovem Nerd;63.722 KB;
nerdcast_381_tecnologias_do_futuro.mp3;.mp3;Nerdcast 381 - Tecnologias do Futuro;NC381 - Alottoni, Atila Lamarino, Rafael Calsaverini, Caio Gomes, Bluehand e Azaghâl;Jovem Nerd;67.048 KB;
nerdcast_387_sobrevivencia.mp3;.mp3;Nerdcast 387 - Eu sobrevivi!;NC387 - Alottoni, Tresdê, Beto Estrada, Guga, Rex, Tucano e Azaghâl;Jovem Nerd;54.046 KB;
NERVO - You re Gonna Love Again.mp3;.mp3;NERVO - You re Gonna Love Again;;;3.519 KB;
Nicky Romero & NERVO - Like Home (Official Music Video).mp3;.mp3;Nicky Romero & NERVO - Like Home (Official Music Video);;;3.433 KB;
Nicky Romero vs Krewella- Legacy (Vicetone Remix).mp3;.mp3;Nicky Romero vs Krewella- Legacy (Vicetone Remix);;;6.798 KB;
NIGGASNERDS [Freaks and Geeks (N²)MIX] - NiggasNerds.mp3;.mp3;NIGGASNERDS [Freaks and Geeks (N²)MIX] - NiggasNerds;;;5.063 KB;
One More Night- Cascada.mp3;.mp3;Cascada - One More Night;;;6.962 KB;
Pablo Alboran - Donde Está El Amor ft. Jesse & Joy (Videoclip oficial).m4a;.m4a;Donde Está El Amor ft. Jesse & Joy (Videoclip oficial);Pablo Alboran;Pablo Alboran;3.423 KB;
Pablo Alborán - Solamente Tú (Videoclip Oficial).m4a;.m4a;Solamente Tú (Videoclip Oficial);Pablo Alborán;Pablo Alborán;4.107 KB;
Paris Blohm & Steerner ft. Paul Aiden - Fight Forever [Official Lyric Video].m4a;.m4a;Paris Blohm & Steerner ft. Paul Aiden - Fight Forever [Official Lyric Video];;;3.722 KB;
Paris Blohm & Taylr Renee - Left Behinds (Lyric Video).mp3;.mp3;Left Behinds;Paris Blohm & Taylr Renee;;7.104 KB;
Pedra Leticia - Eu sou pedreiro.mp3;.mp3;;;;5.049 KB;
Pedra Leticia - Funcionário do mês.mp3;.mp3;;;;3.331 KB;
Pedra Leticia - Lalala.mp3;.mp3;;;;5.104 KB;
Pedra Leticia - Libertas quae sera tamen.mp3;.mp3;;;;3.583 KB;
Pedra Leticia - Me Provoca.mp3;.mp3;;;;4.129 KB;
Pedra Leticia - O Circo de um Homem Só (Official Music Video).m4a;.m4a;O Circo de um Homem Só;Pedra Letícia;;3.838 KB;
Pegboard Nerds - Hero (Da Tweekaz  Guitar Hero  Mix) [HQ Free].mp3;.mp3;Hero (feat. Elizaveta);Pegboard Nerds;;9.630 KB;
Pelado.mp3;.mp3;Pelado;Ultraje a Rigor;Acústico MTV;5.861 KB;Ultraje a Rigor
Peppino Di Capri - Roberta.mp3;.mp3;Roberta;Peppino di Capri;;6.075 KB;
Perfeição - Legião Urbana.mp3;.mp3;Perfeição - Legião Urbana;;;4.222 KB;
Phantom of the Opera - Lindsey Stirling.mp3;.mp3;Phantom of the Opera Medley;Lindsey Stirling;;13.963 KB;
Pink Floyd - Hey You.mp3;.mp3;Hey You;Pink Floyd;;8.445 KB;
Pink Floyd - Money (Official Music Video).mp3;.mp3;Money;Pink Floyd;;8.874 KB;
Pink Floyd - Shine On You Crazy Diamond (Part One).mp3;.mp3;Shine On You Crazy Diamond, Part 1;Pink Floyd;;25.379 KB;
Pink Floyd - Wish You Were Here (with lyrics).m4a;.m4a;Pink Floyd - Wish You Were Here (with lyrics);;;4.963 KB;
Pink Floyd -- The Wall [[ Official Video ]].mp3;.mp3;Pink Floyd -- The Wall [[ Official Video ]];Pink Floyd;A Collection of Great Dance Songs;3.098 KB;Pink Floyd
Pink Floyd- Comfortably Numb with lyrics.m4a;.m4a;Pink Floyd- Comfortably Numb with lyrics;;;5.939 KB;
Pitbull - Feel This Moment ft. Christina Aguilera.mp3;.mp3;Pitbull - Feel This Moment ft. Christina Aguilera;;;5.383 KB;
Ponto de ônibus.mp3;.mp3;Ponto de ônibus;Ultraje a Rigor;Acústico MTV;5.406 KB;Ultraje a Rigor
Psycho Punkz ft. Murda - Love This Life.mp3;.mp3;Psycho Punkz ft. Murda - Love This Life;;;3.705 KB;
Psyko Punkz vs Coone - The Words - Official Videoclip.m4a;.m4a;Psyko Punkz vs Coone - The Words - Official Videoclip;;;3.627 KB;
Que Isso Fique Entre Nós - A Banda Mais Bonita da Cidade.mp3;.mp3;A Banda Mais Bonita da Cidade - Que Isso Fique Entre Nós;;;3.285 KB;
Que país é esse - Legião Urbana.mp3;.mp3;Que país é esse - Legião Urbana;;;2.825 KB;
Queen - Don t Stop Me Now (Official Video).mp3;.mp3;Don't Stop Me Now;Queen;;6.781 KB;
Queen - Somebody To Love.mp3;.mp3;;;;7.492 KB;
Queen - Under Pressure (Official Video).mp3;.mp3;Under Pressure;Queen;;7.908 KB;
Queen - We Are The Champions (Official Video).mp3;.mp3;We Are the Champions;Queen;;5.943 KB;
Queen - We Will Rock You (Official Video).mp3;.mp3;We Will Rock You;Queen;;4.204 KB;
Queen - Who Wants To Live Forever (Official Video).mp3;.mp3;Who Wants to Live Forever;Queen;;7.876 KB;
R.I.O. Feat. U-Jean - Ready Or Not (Official Video HD).mp3;.mp3;R.I.O. Feat. U-Jean - Ready Or Not (Official Video HD);;;3.315 KB;
Radioactive - Lindsey Stirling and Pentatonix (Imagine Dragons Cover).mp3;.mp3;Radioactive - Lindsey Stirling and Pentatonix (Imagine Dragons Cover);;;8.269 KB;
Rather Be - Clean Bandit (DSharp Violin Mix) @CleanBandit.mp3;.mp3;Rather Be (feat. Jess Glynne);Clean Bandit;;9.118 KB;
Rebelde sem causa.mp3;.mp3;Rebelde sem causa;Ultraje a Rigor;Acústico MTV;4.418 KB;Ultraje a Rigor
Rebirth Festival 2015 _ Max Enforcer - Rise Up (Official Rebirth Anthem 2015).m4a;.m4a;Max Enforcer - Rise Up (Official Rebirth Anthem 2015);;;4.084 KB;
Rebourne ft. Melissa Pixel - Beyond [HQ Original].m4a;.m4a;Rebourne ft. Melissa Pixel - Beyond [HQ Original];;;4.241 KB;
Revenge  - A Minecraft Parody of Usher s DJ Got Us Fallin  in Love - Crafted Using Noteblocks.mp3;.mp3;Revenge  - A Minecraft Parody of Usher s DJ Got Us Fallin  in Love - Crafted Using Noteblocks;;;4.133 KB;
River Flows In You- Lindsey Stirling.mp3;.mp3;River Flows In You;Lindsey Stirling;;7.738 KB;
Samba do Approach - zeca pagodinho e zeca Baleiro.mp3;.mp3;Samba do Approach - zeca pagodinho e zeca Baleiro;;;7.099 KB;
Samba em Prelúdio - Vinicius de Moraes 'La Fusa' con Maria Creuza y Toquinho.m4a;.m4a;Samba em Prelúdio;Vinicius de Moraes;Samba em Prelúdio;3.624 KB;
Scorpions - Send Me An Angel.mp3;.mp3;Send Me An Angel;Scorpions;;8.379 KB;
